инн,год,оценка,дата_регистрации,статус,нематериальные_активы,результаты_исследований_и_разработок,нематериальные_поисковые_активы,материальные_поисковые_активы,основные_средства,доходные_вложения_в_материальные_ценности,финансовые_вложения,отложенные_налоговые_активы,прочие_внеоборотные_активы,итого_по_разделу_i,запасы,налог_на_добавленную_стоимость_по_приобретенным_ценностям,дебиторская_задолженность,финансовые_вложения_(за_исключением_денежных_эквивалентов),денежные_средства_и_денежные_эквиваленты,прочие_оборотные_активы,итого_по_разделу_ii,баланс,"уставный_капитал_(складочный_капитал,_уставный_фонд,_вклады_товарищей)","собственные_акции,_выкупленные_у_акционеров",переоценка_внеоборотных_активов,добавочный_капитал_(без_переоценки),резервный_капитал,нераспределенная_прибыль_(непокрытый_убыток),итого_по_разделу_iii,заемные_средства,отложенные_налоговые_обязательства,оценочные_обязательства,прочие_обязательства,итого_по_разделу_iv,кредиторская_задолженность,доходы_будущих_периодов,итого_по_разделу_v,выручка,себестоимость_продаж,валовая_прибыль_(убыток),коммерческие_расходы,управленческие_расходы,прибыль_(убыток)_от_продаж,доходы_от_участия_в_других_организациях,проценты_к_получению,проценты_к_уплате,прочие_доходы,прочие_расходы,прибыль_(убыток)_до_налогообложения,текущий_налог_на_прибыль,постоянные_налоговые_обязательства_(активы),изменение_отложенных_налоговых_обязательств,изменение_отложенных_налоговых_активов,прочее,чистая_прибыль_(убыток),"результат_от_переоценки_внеоборотных_активов,_не_включаемый_в_чистую_прибыль_(убыток)_периода","результат_от_прочих_операций,_не_включаемый_в_чистую_прибыль_(убыток)_периода",совокупный_финансовый_результат_периода
3525165706,2018,низкий,16.05.2006,Действующее,0.0,0.0,0.0,0.0,689000.0,0.0,0.0,0.0,893540000.0,894229000.0,7590000.0,0.0,35303000.0,0.0,0.0,0.0,42893000.0,937122000.0,11000.0,0.0,0.0,0.0,0.0,-386269000.0,-386258000.0,0.0,0.0,0.0,738188000.0,120887000.0,464305000.0,0.0,1202493000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7232000.0,39480000.0,-32248000.0,0.0,0.0,0.0,0.0,0.0,-32248000.0,0.0,0.0,-32248000.0
3525165706,2017,низкий,16.05.2006,Действующее,0.0,0.0,0.0,0.0,689000.0,0.0,0.0,0.0,893540000.0,894229000.0,7590000.0,0.0,28071000.0,0.0,0.0,0.0,35661000.0,929890000.0,11000.0,0.0,0.0,0.0,0.0,-354021000.0,-354010000.0,0.0,0.0,0.0,738188000.0,120887000.0,424825000.0,0.0,1163013000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294245000.0,-294245000.0,0.0,0.0,0.0,0.0,0.0,-294245000.0,0.0,0.0,-294245000.0
3525165706,2016,низкий,16.05.2006,Действующее,0.0,0.0,0.0,0.0,689000.0,0.0,0.0,0.0,893540000.0,894229000.0,5282000.0,0.0,328362000.0,1614000.0,0.0,0.0,335258000.0,1229487000.0,11000.0,0.0,0.0,0.0,0.0,-59776000.0,-59765000.0,0.0,0.0,0.0,738188000.0,91472000.0,459592000.0,0.0,1197780000.0,2156000.0,30383000.0,-28227000.0,0.0,7931000.0,-36158000.0,0.0,0.0,23596000.0,0.0,22000.0,-59776000.0,0.0,0.0,0.0,0.0,0.0,-59776000.0,0.0,0.0,-59776000.0
6670142587,2018,низкий,29.09.2006,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,9000.0,0.0,399000.0,399000.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6670142587,2017,низкий,29.09.2006,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,9000.0,0.0,399000.0,399000.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6670142587,2016,низкий,29.09.2006,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26869000.0,0.0,9000.0,0.0,26878000.0,26877000.0,0.0,0.0,0.0,0.0,0.0,0.0,676000.0,0.0,0.0,0.0,0.0,25901000.0,300000.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7720608028,2018,низкий,14.02.2008,Действующее,0.0,0.0,0.0,0.0,5523000.0,0.0,0.0,0.0,0.0,5523000.0,25790000.0,288000.0,16952000.0,0.0,147000.0,4207000.0,47384000.0,52907000.0,10000.0,0.0,0.0,0.0,0.0,20023000.0,20033000.0,0.0,0.0,0.0,0.0,8374000.0,24500000.0,0.0,24500000.0,55573000.0,37428000.0,18145000.0,15112000.0,0.0,3033000.0,0.0,0.0,0.0,145000.0,1464000.0,1714000.0,367000.0,0.0,0.0,0.0,0.0,1347000.0,0.0,0.0,1347000.0
7720608028,2017,низкий,14.02.2008,Действующее,0.0,0.0,0.0,0.0,7150000.0,0.0,0.0,0.0,0.0,7150000.0,26300000.0,291000.0,21807000.0,0.0,16000.0,3286000.0,51700000.0,58850000.0,10000.0,0.0,0.0,0.0,0.0,17599000.0,17609000.0,0.0,0.0,0.0,0.0,14197000.0,27044000.0,0.0,27044000.0,37155000.0,25577000.0,11578000.0,9517000.0,0.0,2061000.0,0.0,0.0,0.0,190000.0,285000.0,1966000.0,375000.0,0.0,0.0,0.0,0.0,1591000.0,0.0,0.0,1591000.0
7720608028,2016,низкий,14.02.2008,Действующее,0.0,0.0,0.0,0.0,1685000.0,0.0,0.0,0.0,3000.0,1688000.0,16329000.0,288000.0,37819000.0,0.0,2849000.0,4335000.0,61621000.0,63309000.0,10000.0,0.0,0.0,0.0,0.0,16033000.0,16043000.0,12783000.0,0.0,0.0,0.0,0.0,34484000.0,0.0,47266000.0,13478000.0,9165000.0,4313000.0,2978000.0,16000.0,1319000.0,0.0,0.0,0.0,119000.0,752000.0,686000.0,95000.0,0.0,0.0,0.0,0.0,591000.0,0.0,0.0,591000.0
6662024195,2018,средний,31.03.1994,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7842000.0,7842000.0,47000.0,0.0,10000.0,0.0,6452000.0,0.0,6509000.0,14351000.0,200000.0,0.0,0.0,0.0,0.0,244000.0,444000.0,0.0,0.0,0.0,13904000.0,0.0,3000.0,0.0,13907000.0,28000.0,0.0,28000.0,0.0,0.0,28000.0,0.0,0.0,0.0,9437000.0,9400000.0,65000.0,13000.0,0.0,0.0,0.0,0.0,52000.0,0.0,0.0,52000.0
6662024195,2017,средний,31.03.1994,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7449000.0,7449000.0,20000.0,0.0,294000.0,0.0,4582000.0,0.0,4896000.0,12345000.0,200000.0,0.0,0.0,0.0,0.0,192000.0,392000.0,0.0,0.0,0.0,11950000.0,0.0,3000.0,0.0,11953000.0,128000.0,0.0,128000.0,0.0,0.0,128000.0,0.0,0.0,0.0,9297000.0,9276000.0,149000.0,31000.0,0.0,0.0,0.0,0.0,118000.0,0.0,0.0,118000.0
6662024195,2016,средний,31.03.1994,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5354000.0,5354000.0,15000.0,0.0,11000.0,0.0,4986000.0,0.0,5012000.0,10366000.0,200000.0,0.0,0.0,0.0,0.0,75000.0,275000.0,0.0,0.0,0.0,9880000.0,0.0,211000.0,0.0,10091000.0,18000.0,0.0,18000.0,0.0,0.0,18000.0,0.0,0.0,0.0,5493000.0,5350000.0,161000.0,32000.0,0.0,0.0,0.0,0.0,129000.0,0.0,0.0,129000.0
7534016144,2018,низкий,28.02.2002,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042000.0,0.0,2042000.0,3028000.0,0.0,184000.0,0.0,1000.0,133000.0,3346000.0,5388000.0,10000.0,0.0,0.0,0.0,0.0,-4820000.0,-4810000.0,0.0,0.0,1529000.0,0.0,0.0,8669000.0,0.0,10198000.0,0.0,177000.0,-177000.0,0.0,1268000.0,-1445000.0,0.0,0.0,0.0,5175000.0,2407000.0,1323000.0,0.0,364000.0,0.0,99000.0,-148000.0,1274000.0,0.0,0.0,1274000.0
7534016144,2017,низкий,28.02.2002,Действующее,0.0,0.0,0.0,0.0,1029000.0,0.0,0.0,2042000.0,0.0,3071000.0,4100000.0,0.0,4630000.0,0.0,0.0,133000.0,8863000.0,11934000.0,10000.0,0.0,0.0,0.0,0.0,-5998000.0,-5988000.0,0.0,0.0,1592000.0,0.0,0.0,16330000.0,0.0,17922000.0,15240000.0,18136000.0,-2896000.0,0.0,6412000.0,-9308000.0,0.0,0.0,10000.0,10724000.0,10950000.0,-9544000.0,0.0,165000.0,1000.0,1744000.0,-178000.0,-7977000.0,0.0,0.0,-7977000.0
7534016144,2016,низкий,28.02.2002,Действующее,0.0,0.0,0.0,0.0,1275000.0,0.0,0.0,298000.0,0.0,1573000.0,4836000.0,0.0,30592000.0,0.0,0.0,0.0,35428000.0,37001000.0,10000.0,0.0,0.0,0.0,0.0,1979000.0,1989000.0,0.0,1000.0,3709000.0,0.0,1000.0,31302000.0,0.0,35011000.0,96780000.0,89317000.0,7463000.0,0.0,15032000.0,-7569000.0,0.0,0.0,0.0,7294000.0,1898000.0,-2173000.0,0.0,0.0,0.0,298000.0,30000.0,-1905000.0,0.0,0.0,-1905000.0
5030060599,2018,низкий,22.12.2007,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907000.0,0.0,2907000.0,28418000.0,417000.0,342470000.0,360789000.0,0.0,0.0,732094000.0,735001000.0,10000.0,0.0,0.0,0.0,0.0,48007000.0,48017000.0,14213000.0,-23000.0,0.0,0.0,221426000.0,451345000.0,0.0,465558000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2614018606,2018,средний,16.10.2003,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,52000.0,59000.0,59000.0,10000.0,0.0,0.0,0.0,0.0,-502000.0,-492000.0,0.0,0.0,0.0,0.0,0.0,551000.0,0.0,551000.0,3141000.0,2980000.0,161000.0,0.0,62000.0,99000.0,0.0,0.0,0.0,0.0,29000.0,70000.0,25000.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,45000.0
2614018606,2017,средний,16.10.2003,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,25000.0,67000.0,115000.0,115000.0,10000.0,0.0,0.0,0.0,0.0,-547000.0,-537000.0,0.0,0.0,0.0,0.0,0.0,652000.0,0.0,652000.0,2491000.0,3192000.0,-701000.0,0.0,6000.0,-707000.0,0.0,0.0,0.0,0.0,26000.0,-733000.0,25000.0,0.0,0.0,0.0,-13000.0,-771000.0,0.0,0.0,-771000.0
2614018606,2016,средний,16.10.2003,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0,247000.0,114000.0,420000.0,420000.0,10000.0,0.0,0.0,0.0,0.0,224000.0,234000.0,0.0,0.0,0.0,0.0,0.0,186000.0,0.0,186000.0,3567000.0,3515000.0,52000.0,0.0,67000.0,-15000.0,0.0,0.0,0.0,0.0,69000.0,-84000.0,37000.0,0.0,0.0,0.0,10000.0,-131000.0,0.0,0.0,-131000.0
7704173468,2018,низкий,07.08.1997,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,8000.0,3000.0,0.0,3124000.0,0.0,143000.0,0.0,3270000.0,3278000.0,0.0,0.0,0.0,0.0,0.0,0.0,218000.0,1746000.0,0.0,0.0,0.0,0.0,1314000.0,0.0,3060000.0,338000.0,473000.0,-135000.0,0.0,0.0,-135000.0,0.0,0.0,0.0,21000.0,14000.0,-128000.0,0.0,0.0,0.0,0.0,0.0,-128000.0,0.0,0.0,0.0
7704173468,2017,низкий,07.08.1997,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,8000.0,3000.0,0.0,3124000.0,0.0,223000.0,0.0,3350000.0,3358000.0,0.0,0.0,0.0,0.0,0.0,0.0,365000.0,1746000.0,0.0,0.0,0.0,0.0,1247000.0,0.0,2993000.0,1388000.0,2179000.0,-791000.0,0.0,0.0,-791000.0,0.0,0.0,0.0,0.0,18000.0,-809000.0,19000.0,0.0,0.0,0.0,0.0,-828000.0,0.0,0.0,0.0
7704173468,2016,низкий,07.08.1997,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,8000.0,3000.0,0.0,3141000.0,0.0,210000.0,0.0,3354000.0,3362000.0,0.0,0.0,0.0,0.0,0.0,0.0,1174000.0,1746000.0,0.0,0.0,0.0,0.0,442000.0,0.0,2188000.0,4091000.0,3678000.0,413000.0,0.0,0.0,413000.0,0.0,0.0,0.0,0.0,59000.0,354000.0,73000.0,0.0,0.0,0.0,0.0,281000.0,0.0,0.0,0.0
6723021155,2018,низкий,16.01.2008,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3545000.0,3545000.0,3545000.0,0.0,0.0,0.0,0.0,0.0,-1223000.0,-1223000.0,0.0,0.0,0.0,0.0,550000.0,4218000.0,0.0,4218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000.0,0.0,0.0,0.0
6723021155,2017,низкий,16.01.2008,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3553000.0,0.0,0.0,0.0,3553000.0,3553000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1220000.0,550000.0,0.0,0.0,0.0,0.0,4223000.0,0.0,4773000.0,6801000.0,6671000.0,130000.0,0.0,0.0,130000.0,0.0,0.0,0.0,0.0,28000.0,102000.0,25000.0,0.0,0.0,0.0,0.0,77000.0,0.0,0.0,0.0
6723021155,2016,низкий,16.01.2008,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,27000.0,0.0,32000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1297000.0,0.0,0.0,0.0,0.0,0.0,1329000.0,0.0,1329000.0,717000.0,722000.0,-5000.0,0.0,0.0,-5000.0,0.0,0.0,0.0,10000.0,70000.0,-65000.0,1000.0,0.0,0.0,0.0,0.0,-66000.0,0.0,0.0,0.0
2902041087,2018,низкий,20.03.2000,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2902041087,2017,низкий,20.03.2000,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-444000.0,0.0,0.0,0.0,0.0,0.0,444000.0,0.0,444000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464000.0,-464000.0,0.0,0.0,0.0,0.0,0.0,-464000.0,0.0,0.0,0.0
2902041087,2016,низкий,20.03.2000,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464000.0,0.0,0.0,0.0,464000.0,464000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,444000.0,0.0,444000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7435008375,2018,высокий,21.11.2003,Действующее,0.0,0.0,0.0,0.0,3410000.0,0.0,0.0,0.0,0.0,3410000.0,10000.0,0.0,700000.0,0.0,527000.0,0.0,1237000.0,4647000.0,100000.0,0.0,0.0,4567000.0,0.0,-243000.0,4424000.0,0.0,0.0,0.0,0.0,0.0,223000.0,0.0,223000.0,5037000.0,4861000.0,176000.0,0.0,0.0,176000.0,0.0,0.0,0.0,0.0,81000.0,95000.0,0.0,0.0,0.0,0.0,0.0,95000.0,0.0,0.0,95000.0
7435008375,2017,высокий,21.11.2003,Действующее,0.0,0.0,0.0,0.0,3530000.0,0.0,0.0,0.0,0.0,3530000.0,10000.0,0.0,685000.0,0.0,418000.0,0.0,1113000.0,4643000.0,100000.0,0.0,0.0,4566000.0,0.0,-198000.0,4468000.0,0.0,0.0,0.0,0.0,0.0,175000.0,0.0,175000.0,4478000.0,4676000.0,-198000.0,0.0,0.0,-198000.0,0.0,0.0,0.0,0.0,0.0,-198000.0,0.0,0.0,0.0,0.0,0.0,-198000.0,0.0,0.0,-198000.0
7435008375,2016,высокий,21.11.2003,Действующее,0.0,0.0,0.0,0.0,3863000.0,0.0,0.0,0.0,0.0,3863000.0,6000.0,0.0,757000.0,0.0,641000.0,0.0,1404000.0,5267000.0,100000.0,0.0,0.0,4903000.0,0.0,177000.0,5180000.0,0.0,0.0,0.0,0.0,0.0,61000.0,26000.0,87000.0,4283000.0,4063000.0,220000.0,0.0,0.0,220000.0,0.0,0.0,0.0,0.0,0.0,220000.0,0.0,0.0,0.0,0.0,0.0,220000.0,0.0,0.0,220000.0
5918001688,2018,низкий,26.01.1998,Действующее,0.0,0.0,0.0,0.0,3558000.0,0.0,0.0,0.0,0.0,3558000.0,13220000.0,0.0,1756000.0,3000.0,48000.0,0.0,15027000.0,18585000.0,2671000.0,0.0,0.0,8485000.0,127000.0,-11316000.0,-33000.0,0.0,11000.0,0.0,0.0,11000.0,15421000.0,3186000.0,18607000.0,12801000.0,24294000.0,-11493000.0,0.0,0.0,-11493000.0,0.0,0.0,0.0,2016000.0,695000.0,-10172000.0,0.0,0.0,13000.0,0.0,-48000.0,-10207000.0,0.0,0.0,-10207000.0
5918001688,2017,низкий,26.01.1998,Действующее,0.0,0.0,0.0,0.0,5587000.0,0.0,0.0,0.0,0.0,5587000.0,18807000.0,0.0,1463000.0,3000.0,2070000.0,0.0,22343000.0,27930000.0,2671000.0,0.0,0.0,8485000.0,127000.0,-1109000.0,10174000.0,0.0,24000.0,0.0,0.0,24000.0,12588000.0,5144000.0,17732000.0,22592000.0,27660000.0,-5068000.0,0.0,0.0,-5068000.0,0.0,0.0,0.0,2910000.0,845000.0,-3003000.0,0.0,0.0,14000.0,0.0,-63000.0,-3052000.0,0.0,0.0,-3052000.0
5918001688,2016,низкий,26.01.1998,Действующее,0.0,0.0,0.0,0.0,6705000.0,0.0,0.0,0.0,0.0,6705000.0,21653000.0,0.0,5546000.0,3000.0,383000.0,0.0,27585000.0,34290000.0,2671000.0,0.0,0.0,8485000.0,127000.0,1943000.0,13226000.0,0.0,38000.0,0.0,0.0,38000.0,14102000.0,6924000.0,21026000.0,43968000.0,43831000.0,137000.0,0.0,0.0,137000.0,0.0,0.0,0.0,2152000.0,2966000.0,-677000.0,0.0,0.0,12000.0,0.0,82000.0,-747000.0,0.0,0.0,-747000.0
5012051873,2018,средний,30.12.2008,Действующее,0.0,0.0,0.0,0.0,22078000.0,0.0,0.0,0.0,0.0,22078000.0,0.0,0.0,395000.0,0.0,44000.0,0.0,439000.0,22517000.0,10000.0,0.0,0.0,0.0,0.0,11936000.0,11946000.0,0.0,0.0,0.0,0.0,0.0,10571000.0,0.0,10571000.0,3024000.0,1500000.0,1524000.0,0.0,0.0,1524000.0,0.0,0.0,0.0,0.0,437000.0,1087000.0,217000.0,0.0,0.0,0.0,0.0,870000.0,0.0,0.0,870000.0
2221005882,2018,средний,15.02.1994,Действующее,0.0,0.0,0.0,0.0,122000.0,0.0,0.0,0.0,0.0,122000.0,818000.0,0.0,4548000.0,75000.0,38000.0,32000.0,5512000.0,5633000.0,21000.0,0.0,237000.0,29000.0,0.0,4591000.0,4878000.0,0.0,0.0,0.0,0.0,0.0,755000.0,0.0,755000.0,3368000.0,2158000.0,1210000.0,676000.0,75000.0,459000.0,0.0,0.0,0.0,18000.0,78000.0,399000.0,0.0,0.0,0.0,0.0,-41000.0,358000.0,0.0,0.0,358000.0
2221005882,2017,средний,15.02.1994,Действующее,0.0,0.0,0.0,0.0,129000.0,0.0,0.0,0.0,0.0,129000.0,568000.0,0.0,2048000.0,75000.0,2826000.0,3000.0,5519000.0,5648000.0,21000.0,0.0,237000.0,29000.0,0.0,4260000.0,4547000.0,0.0,0.0,0.0,0.0,0.0,1102000.0,0.0,1102000.0,5614000.0,3479000.0,2135000.0,1990000.0,93000.0,52000.0,0.0,0.0,0.0,18000.0,1286000.0,-1216000.0,0.0,0.0,0.0,0.0,-34000.0,-1250000.0,0.0,0.0,-1250000.0
2221005882,2016,средний,15.02.1994,Действующее,0.0,0.0,0.0,0.0,145000.0,0.0,2000.0,0.0,0.0,147000.0,1494000.0,0.0,1721000.0,0.0,3829000.0,0.0,7044000.0,7191000.0,0.0,0.0,0.0,0.0,0.0,0.0,5866000.0,0.0,0.0,0.0,0.0,399000.0,926000.0,0.0,926000.0,17329000.0,12978000.0,4351000.0,0.0,0.0,4351000.0,0.0,0.0,0.0,62000.0,362000.0,4051000.0,207000.0,0.0,0.0,0.0,0.0,3844000.0,0.0,0.0,0.0
5407017374,2018,средний,21.06.2006,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181000.0,0.0,101000.0,0.0,1282000.0,1282000.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,10000.0,0.0,0.0,0.0,0.0,1226000.0,0.0,1236000.0,1550000.0,1509000.0,41000.0,0.0,0.0,41000.0,0.0,0.0,0.0,130000.0,75000.0,96000.0,35000.0,0.0,0.0,0.0,0.0,61000.0,0.0,0.0,0.0
5407017374,2017,средний,21.06.2006,Действующее,0.0,0.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,73000.0,48000.0,0.0,4000.0,0.0,0.0,0.0,52000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000.0,130000.0,0.0,0.0,0.0,0.0,10000.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132000.0,-132000.0,5000.0,0.0,0.0,0.0,0.0,-137000.0,0.0,0.0,0.0
5407017374,2016,средний,21.06.2006,Действующее,0.0,0.0,0.0,0.0,204000.0,0.0,0.0,0.0,0.0,204000.0,48000.0,0.0,4000.0,0.0,0.0,0.0,52000.0,256000.0,0.0,0.0,0.0,0.0,0.0,0.0,122000.0,129000.0,0.0,0.0,0.0,0.0,5000.0,0.0,134000.0,0.0,308000.0,-308000.0,0.0,0.0,-308000.0,0.0,0.0,0.0,0.0,0.0,-308000.0,0.0,0.0,0.0,0.0,0.0,-308000.0,0.0,0.0,0.0
4217127049,2018,низкий,16.08.2010,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453000.0,0.0,137000.0,0.0,182000.0,0.0,772000.0,772000.0,15000.0,0.0,0.0,0.0,0.0,727000.0,742000.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,30000.0,1037000.0,830000.0,207000.0,107000.0,0.0,100000.0,0.0,0.0,0.0,0.0,12000.0,88000.0,18000.0,0.0,0.0,0.0,-91000.0,-21000.0,0.0,0.0,-21000.0
4217127049,2017,низкий,16.08.2010,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495000.0,41000.0,194000.0,0.0,280000.0,0.0,1010000.0,1010000.0,15000.0,0.0,0.0,0.0,0.0,748000.0,763000.0,0.0,0.0,0.0,0.0,0.0,247000.0,0.0,247000.0,3050000.0,2565000.0,485000.0,79000.0,0.0,406000.0,0.0,0.0,0.0,0.0,14000.0,392000.0,78000.0,0.0,0.0,0.0,0.0,314000.0,0.0,0.0,314000.0
4217127049,2016,низкий,16.08.2010,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503000.0,383000.0,330000.0,0.0,1074000.0,0.0,3290000.0,3290000.0,15000.0,0.0,0.0,0.0,0.0,434000.0,449000.0,0.0,0.0,0.0,0.0,0.0,2841000.0,0.0,2841000.0,2683000.0,2202000.0,481000.0,58000.0,0.0,423000.0,0.0,0.0,0.0,0.0,0.0,423000.0,85000.0,0.0,0.0,0.0,172000.0,166000.0,0.0,0.0,166000.0
7801041178,2018,низкий,20.10.1966,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366000.0,0.0,1524000.0,0.0,1890000.0,1890000.0,0.0,0.0,0.0,1890000.0,0.0,0.0,1890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,35000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7801041178,2017,низкий,20.10.1966,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325000.0,0.0,1875000.0,0.0,2200000.0,2200000.0,0.0,0.0,0.0,2200000.0,0.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,29000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7801041178,2016,низкий,20.10.1966,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301000.0,0.0,1671000.0,0.0,1972000.0,1972000.0,0.0,0.0,0.0,1972000.0,0.0,0.0,1972000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,29000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7415047104,2018,высокий,01.11.2005,Действующее,0.0,0.0,0.0,0.0,6177000.0,0.0,0.0,0.0,0.0,6177000.0,4214000.0,0.0,5544000.0,0.0,2599000.0,0.0,12357000.0,18534000.0,0.0,0.0,0.0,0.0,0.0,0.0,8386000.0,0.0,0.0,0.0,0.0,229000.0,9919000.0,0.0,9919000.0,79714000.0,74797000.0,4917000.0,0.0,0.0,4917000.0,0.0,0.0,213000.0,119000.0,837000.0,3986000.0,901000.0,0.0,0.0,0.0,0.0,3085000.0,0.0,0.0,0.0
